Safeguard,Founding_Intent,Historical_Lesson,Current_Status_2025,Erosion_Score_0_10
No Standing Army,"Citizen militia, prevent tyranny",Rome: Dictators with armies,FAILED,10
No Foreign Entanglements,Avoid foreign wars and influence,Rome/Venice: Imperial overreach,FAILED,10
Congress Declares War,Prevent executive military adventurism,Rome: Generals become emperors,SIGNIFICANTLY ERODED,7
Electoral College Filter,Insulate from mob rule,"Athens: Mob rule, Socrates",ERODED,6
Senate Appointed by States,State sovereignty representation,Venice: Oligarchy rigidity,FAILED (17th Amendment 1913),10
Separation of Powers,Prevent power concentration,Rome: Power consolidation,STRAINED,4
Checks and Balances,Ambition counteract ambition,All: Single-branch dominance,WEAKENED,5
Federalism (State Rights),Dual sovereignty protection,Rome: Centralization bred corruption,ERODED,6
Bill of Rights,Protect minority rights,Athens: Tyranny of majority,HOLDING,2
No Titles of Nobility,Prevent aristocracy,Venice/Florence: Hereditary control,HOLDING,1
Supermajority Requirements,Protect against simple majority tyranny,Rome: Populist reforms,HOLDING,2
Impeachment Power,Remove corrupt executives,Rome: No mechanism to remove dictator,HOLDING BUT PARTISAN,3
Limited Federal Powers,Enumerated powers only,Rome: Imperial expansion unchecked,FAILED,8
Protection Against Factions,Large republic prevents faction dominance,All: Faction violence,FAILED,9
Judicial Review,Judicial check on legislature,No classical equivalent,HOLDING BUT CONTESTED,3
